date_time,price_usd,srch_booking_window,srch_saturday_night_bool
2041,2013-03-14 11:27:28,206.0,99,1
3152,2013-01-03 20:48:24,186.0,6,0
5166,2013-01-19 16:51:27,61.0,1,0
10135,2013-01-26 11:34:23,72.0,116,0
10560,2013-04-29 09:39:50,246.0,245,0
11127,2013-03-25 19:43:44,52.0,7,0
19171,2013-05-19 19:52:42,68.0,42,0
25358,2012-11-14 17:18:51,46.0,4,0
26107,2013-01-10 19:22:49,50.0,46,0
27061,2013-03-27 14:49:27,122.0,100,1
29088,2013-05-20 08:14:41,209.0,5,1
34421,2013-06-27 19:02:34,89.0,69,0
36093,2013-05-21 18:49:33,66.0,7,0
37282,2012-11-25 18:24:55,52.0,26,1
37627,2013-04-07 22:42:16,195.0,12,1
38750,2013-05-24 21:03:54,111.0,22,1
41069,2013-05-04 08:31:26,115.0,10,0
48834,2012-11-02 16:05:35,43.0,17,0
55784,2013-03-01 18:51:53,66.0,30,0
58545,2013-06-15 10:13:01,64.0,36,0
59199,2012-12-09 11:39:06,43.0,24,0
60334,2012-11-18 22:06:17,68.0,3,0
63387,2012-11-01 03:06:43,78.0,16,1
65661,2013-02-09 20:24:55,73.0,88,0
67538,2013-04-16 06:05:58,64.0,77,0
76013,2013-04-24 16:54:51,76.0,0,0
78120,2013-05-08 13:46:34,73.0,4,0
87385,2012-12-31 11:13:27,71.0,27,0
88639,2013-05-17 17:25:15,62.0,221,0
89250,2012-12-18 07:56:34,68.0,28,0
90756,2012-12-20 08:37:44,90.0,61,0
93434,2013-05-08 22:15:41,58.0,19,0
94675,2012-12-27 11:21:45,46.0,6,0
97486,2013-05-12 06:11:34,141.0,145,1
99678,2013-02-28 15:19:54,145.0,16,1
101969,2013-02-19 14:40:31,178.0,94,1
103010,2012-11-21 20:18:25,44.0,32,0
106369,2013-01-09 00:24:45,53.0,21,0
107074,2013-04-14 12:08:05,106.0,21,0
110315,2013-05-28 19:32:14,150.0,25,1
114738,2013-02-02 10:37:23,118.0,5,1
114902,2013-02-18 11:45:16,123.0,81,1
117681,2012-12-08 15:25:51,90.0,14,1
119976,2012-12-22 01:15:09,73.5,0,1
120066,2013-02-13 14:24:31,162.0,23,1
120089,2013-02-27 18:50:40,181.0,16,1
123027,2012-12-30 20:08:35,49.0,3,0
125402,2013-02-03 21:03:49,90.0,7,0
133572,2013-05-14 12:51:46,120.0,1,0
135199,2012-12-19 08:28:11,66.0,7,0
137985,2013-04-03 21:04:38,80.0,35,0
140676,2012-12-26 15:26:42,94.0,2,1
142745,2012-12-23 13:47:19,66.0,1,0
143486,2013-06-30 16:43:40,68.0,8,0
143549,2012-12-27 20:29:05,67.0,19,0
149458,2013-04-24 19:20:13,81.0,28,0
152560,2013-01-10 11:21:09,66.0,1,1
152761,2012-11-28 09:54:49,57.0,27,0
153846,2013-06-01 09:53:35,76.0,8,0
157021,2012-11-07 20:26:03,59.0,17,1
158417,2013-06-09 21:20:51,184.0,19,1
164495,2013-01-21 15:07:40,88.0,138,1
166006,2012-12-17 19:48:07,71.0,6,0
167665,2013-04-21 18:52:00,276.0,5,1
173552,2012-12-03 20:34:56,56.0,21,0
176381,2013-01-14 19:54:55,75.0,26,1
179161,2013-02-20 11:00:18,80.0,163,0
179412,2013-04-30 12:39:39,92.33,54,0
180565,2013-01-07 04:38:43,88.0,0,0
188034,2013-03-20 08:18:54,190.0,18,0
188683,2013-06-18 10:47:52,142.0,38,1
193675,2013-01-08 18:29:31,106.0,32,1
195681,2013-01-21 19:23:56,95.0,158,1
197678,2013-04-16 13:08:06,71.0,8,0
206214,2013-06-07 20:57:59,214.0,1,1
216040,2013-03-06 19:07:51,69.0,18,0
217285,2012-11-18 08:59:13,90.0,12,1
218695,2013-01-13 18:59:24,58.0,74,1
218760,2012-11-24 14:42:02,46.0,25,0
219088,2012-12-31 15:44:15,154.0,46,1
220776,2013-02-05 09:26:39,94.0,135,1
220933,2013-05-19 11:41:29,73.0,8,0
221909,2013-02-19 08:50:46,111.0,3,1
221942,2013-01-12 17:49:07,64.0,15,0
224153,2013-06-08 16:57:50,366.0,14,1
224549,2013-05-08 08:33:53,83.0,5,0
226683,2012-12-26 21:55:53,133.0,3,1
230151,2013-03-01 17:27:13,80.0,109,0
233944,2013-06-03 17:29:24,143.0,26,1
236579,2012-11-09 18:08:40,126.0,0,1
241390,2013-03-15 09:14:07,146.0,0,1
247554,2012-11-15 05:37:40,253.0,55,0
250827,2013-06-05 21:37:33,182.0,87,1
250934,2013-05-28 12:28:28,132.0,52,1
251548,2013-04-01 20:08:54,186.0,8,0
255555,2013-02-21 14:13:38,209.0,29,1
257159,2013-02-26 12:16:22,156.0,22,0
266958,2013-01-14 13:40:16,55.0,217,0
270113,2012-12-28 09:02:28,103.0,132,1
281793,2013-05-08 17:49:29,178.0,11,0
294172,2013-03-08 19:30:45,180.0,77,1
294360,2012-12-02 16:45:19,116.0,26,1
295846,2013-02-09 11:34:07,102.0,13,1
319970,2013-04-07 00:57:49,150.0,0,0
323423,2013-06-14 11:26:27,56.0,23,0
327894,2012-11-10 22:10:22,129.0,131,1
330661,2013-02-25 21:35:49,155.0,82,1
330692,2012-11-18 20:04:54,46.0,0,0
337233,2013-01-14 00:08:14,66.0,6,0
337434,2013-05-09 09:33:25,66.0,48,0
340731,2013-02-18 15:13:04,92.0,20,0
340909,2013-02-26 10:22:29,120.0,11,1
341523,2013-04-18 19:24:37,47.0,2,1
342303,2013-03-07 19:25:29,168.0,7,1
344164,2013-06-17 01:25:45,164.0,26,1
345088,2013-01-13 10:14:23,110.0,32,1
350240,2013-05-26 00:11:05,66.0,7,0
353446,2013-03-02 08:39:58,130.0,28,1
356473,2013-06-11 15:19:16,144.0,22,0
357237,2013-01-15 09:04:59,143.0,3,1
360825,2013-01-15 21:02:30,136.0,11,1
367041,2013-02-25 14:31:30,211.0,25,1
371858,2012-11-26 18:10:18,54.0,28,0
374764,2013-03-12 16:29:11,77.0,95,1
376337,2013-03-02 21:19:26,172.0,33,1
376644,2013-03-01 00:20:51,66.0,58,0
378924,2013-02-08 09:20:40,81.0,6,1
381028,2013-06-17 16:43:51,56.0,13,0
388738,2013-01-19 10:48:00,49.0,5,1
389599,2013-02-25 13:46:34,62.0,28,0
394147,2013-06-12 05:48:01,115.0,80,1
399530,2012-12-04 11:08:57,80.0,2,1
402281,2013-05-28 16:17:35,98.0,1,0
404783,2012-12-05 13:06:37,143.0,23,0
414894,2012-12-27 23:36:59,90.0,1,1
418711,2013-01-09 10:17:46,87.0,78,1
420453,2013-05-23 21:02:37,66.0,10,0
423068,2013-03-17 15:19:16,109.0,192,0
424223,2013-06-07 07:15:03,309.0,22,1
437920,2013-05-01 17:38:47,136.0,7,0
444292,2013-05-19 12:01:58,137.0,48,1
454809,2012-11-01 17:26:52,139.0,1,1
464076,2013-04-30 08:17:46,230.0,17,1
467519,2013-04-02 23:49:57,200.0,3,1
469628,2012-11-01 14:42:39,92.0,79,1
474953,2013-03-27 20:22:20,188.0,51,1
476955,2013-04-23 22:22:20,181.0,38,1
477838,2013-01-12 21:45:00,44.0,1,0
479181,2013-03-21 21:05:27,52.0,10,0
481661,2012-12-22 14:06:55,56.0,2,0
482826,2013-06-20 15:53:49,69.0,40,0
483928,2013-06-16 07:25:27,434.0,6,1
484058,2013-01-01 17:42:02,70.0,4,1
484513,2013-02-11 12:20:23,111.0,65,0
492598,2012-11-19 23:45:54,87.0,37,0
506039,2013-03-13 13:23:35,63.0,18,0
507505,2012-11-09 07:55:23,97.0,14,1
508971,2012-12-11 00:02:26,198.0,26,0
511529,2013-04-19 22:12:22,124.0,16,0
512061,2012-11-23 06:21:38,84.0,34,1
516759,2013-06-04 07:08:47,87.0,0,0
524042,2013-04-29 15:29:48,165.0,7,0
527854,2013-03-07 19:44:40,160.0,9,1
528811,2013-06-14 10:10:34,131.0,77,1
531237,2013-04-11 11:13:39,147.0,35,1
533842,2013-06-21 12:46:50,112.0,48,1
534767,2012-12-20 09:43:53,69.0,1,1
543444,2013-06-11 10:23:24,64.0,7,0
545975,2013-06-26 03:49:27,71.0,46,0
546501,2013-06-07 12:56:06,165.0,22,1
560426,2013-06-04 22:20:24,130.0,3,1
560670,2013-06-02 20:28:11,72.0,15,0
565644,2013-04-11 23:39:04,62.0,119,1
566300,2013-01-27 12:09:46,149.0,20,1
566813,2013-06-09 18:08:22,64.0,58,0
566948,2013-05-30 23:23:12,56.0,46,0
569481,2012-11-25 15:40:17,40.0,22,0
572473,2013-01-09 19:14:06,94.0,10,1
575734,2013-03-13 13:47:20,103.0,15,1
588728,2013-06-29 22:57:16,79.0,25,0
590191,2012-12-24 10:41:09,153.0,53,1
593619,2013-05-15 14:00:07,71.0,27,0
600500,2013-02-21 15:39:01,88.0,24,0
601729,2013-06-13 09:25:29,68.0,193,0
612051,2013-06-09 18:58:47,64.0,66,0
613467,2013-02-19 15:13:49,62.0,35,0
617039,2013-06-03 00:44:58,151.0,11,1
618243,2013-04-09 09:07:46,60.0,55,0
621402,2013-03-21 18:41:35,112.0,0,1
623150,2013-03-19 19:42:11,152.0,46,1
623688,2013-02-28 15:39:42,92.0,1,0
624721,2013-03-26 12:44:27,131.0,14,0
625132,2013-01-15 18:29:22,158.0,3,1
631835,2013-03-02 17:29:53,77.0,43,0
637380,2013-03-24 09:34:01,122.0,5,1
639917,2012-12-30 15:56:29,66.0,29,0
639984,2013-06-13 21:09:44,50.0,81,0
640288,2013-05-17 19:43:16,71.0,136,0
646707,2012-11-13 09:16:30,46.0,7,0
650426,2013-03-23 10:36:47,67.0,71,0
652904,2013-04-23 11:28:23,68.0,96,0
654800,2013-05-16 14:15:50,67.0,115,0
659405,2013-03-03 05:39:27,97.0,14,0
665445,2013-03-01 08:01:48,198.0,14,1
668232,2012-12-27 21:03:12,236.0,3,0
674648,2013-04-24 19:49:49,98.0,20,0
675906,2013-01-06 20:41:13,154.0,33,1
681402,2013-06-20 16:22:47,69.0,25,0
693385,2013-05-23 13:27:37,77.03,4,0
700717,2012-12-19 23:32:57,106.0,9,1
706381,2012-11-30 23:46:18,86.0,43,1
707887,2013-04-13 17:38:09,56.0,99,0
710357,2013-02-11 21:52:25,100.0,17,1
721003,2013-01-11 23:08:17,60.0,9,0
726623,2013-01-10 00:27:31,180.0,37,1
728382,2012-12-31 20:21:59,66.0,27,0
734014,2012-12-25 17:27:50,111.0,54,0
735408,2013-06-27 11:27:58,161.0,1,1
736115,2013-02-11 19:59:05,133.0,36,0
739527,2013-04-08 15:25:15,70.0,24,1
746261,2013-03-28 16:02:04,130.0,44,1
748131,2013-01-01 09:46:47,60.0,15,0
751334,2013-06-16 07:52:09,124.0,7,0
754190,2013-03-04 18:05:17,65.0,98,0
760117,2013-03-18 21:41:53,106.0,115,1
761146,2012-12-21 10:10:19,84.0,22,0
767446,2013-04-25 12:50:15,126.0,0,1
767821,2013-03-06 11:26:13,143.0,13,0
770674,2012-12-18 19:47:24,68.0,3,1
772182,2013-04-06 19:18:04,155.0,50,0
774610,2013-03-02 22:30:01,146.0,7,1
775011,2012-11-10 09:00:03,124.0,111,1
778563,2013-04-01 20:14:42,141.0,88,1
778846,2013-01-03 06:43:46,62.0,137,0
782252,2012-11-08 19:17:27,63.0,54,0
783483,2013-05-18 19:30:11,56.0,50,0
787604,2013-05-31 08:51:34,76.0,9,0
795529,2013-05-10 04:11:04,95.0,0,1
796583,2013-01-18 21:06:42,149.0,0,1
803368,2012-12-04 07:57:40,253.0,34,0
804680,2013-06-24 11:14:10,146.0,67,1
804739,2012-11-20 12:11:56,275.0,48,0
811337,2013-06-18 11:48:07,142.0,38,1
811370,2012-12-26 11:12:37,225.0,3,1
811933,2012-12-09 17:01:16,287.0,21,0
812645,2013-02-09 11:13:54,119.0,14,1
818256,2012-12-23 17:14:52,76.0,3,0
820480,2012-11-24 21:26:12,40.0,17,0
823631,2013-01-02 03:55:26,43.0,0,0
824436,2013-03-23 21:35:05,52.0,8,0
828904,2013-02-01 20:48:53,156.0,48,1
831372,2012-12-12 21:14:51,123.0,16,1
834199,2013-06-11 12:29:47,143.0,31,1
834816,2013-01-21 16:05:12,88.0,19,1
836928,2013-04-18 21:46:16,63.0,24,0
838021,2012-11-20 19:29:39,53.0,1,0
838078,2013-04-10 21:46:07,145.0,1,1
842750,2013-06-14 08:41:32,69.0,3,0
850275,2013-05-31 10:33:41,134.0,42,1
858040,2012-11-28 19:17:03,108.0,2,1
861352,2013-01-17 22:51:42,60.86,3,0
862460,2013-02-08 05:31:51,83.0,13,1
870604,2013-03-18 15:58:56,64.0,60,1
871235,2013-04-14 13:44:11,82.0,145,0
873766,2013-05-02 10:29:42,155.0,18,0
875490,2013-04-07 18:06:45,70.0,14,0
882858,2012-11-07 22:13:15,160.0,10,1
885061,2013-04-04 14:07:11,185.0,3,0
886508,2012-11-29 20:13:55,124.0,50,1
886873,2013-05-21 20:09:08,81.0,62,0
893302,2013-05-24 21:47:38,117.0,76,1
899196,2013-04-27 12:13:44,57.0,2,0
903171,2013-04-22 07:54:59,52.0,36,0
906247,2013-05-11 15:28:45,60.0,57,0
909665,2013-05-05 13:23:17,66.0,56,0
910127,2013-01-11 08:12:48,88.0,32,0
920383,2013-04-23 11:28:12,120.0,94,1
926546,2013-05-13 15:00:59,170.0,13,0
932499,2013-05-29 09:57:51,164.0,30,1
932961,2012-12-20 08:39:00,71.0,3,0
934158,2013-02-06 15:44:18,59.0,7,0
934956,2013-02-19 21:16:38,103.0,1,0
939266,2013-05-13 23:05:10,66.0,35,0
939791,2013-05-02 22:41:36,105.99,0,1
940978,2013-04-19 19:51:01,64.0,54,0
941142,2013-01-05 13:43:05,70.0,15,0
942571,2012-12-26 16:50:33,106.0,1,1
942877,2013-04-18 15:02:05,76.0,3,0
944354,2012-11-11 21:01:52,64.0,41,1
945264,2013-03-21 01:15:17,104.0,77,1
950395,2013-03-02 16:00:45,95.0,118,1
951022,2013-05-03 18:05:28,76.0,9,0
953020,2012-12-11 11:55:29,84.0,3,1
961026,2013-02-16 14:49:20,150.0,1,0
964969,2013-01-17 12:59:12,151.0,29,1
967718,2013-06-25 17:55:28,113.0,7,0
969933,2012-12-08 20:01:05,66.0,15,0
972856,2013-04-12 23:24:19,49.0,4,0
973837,2013-06-05 10:30:26,79.0,96,0
974845,2013-01-20 16:23:52,115.0,18,1
975379,2013-02-12 17:42:50,152.0,54,0
979897,2012-12-27 16:46:49,129.0,13,0
980970,2013-04-14 14:21:02,63.0,71,0
997708,2013-05-30 12:16:47,86.0,34,0
1004249,2013-06-08 12:47:20,121.0,15,0
1004561,2013-06-20 22:01:58,54.0,10,0
1005445,2012-12-22 18:58:35,81.0,4,0
1008055,2012-11-29 22:48:20,50.0,4,0
1009028,2013-02-21 21:52:45,134.0,8,1
1009425,2013-01-08 16:07:59,141.0,31,1
1009510,2013-05-14 12:22:25,268.0,38,1
1013334,2012-12-21 20:30:49,68.0,2,0
1017719,2013-04-13 10:32:33,94.0,43,0
1019039,2013-05-20 21:01:05,74.0,2,0
1027550,2012-11-07 19:11:07,92.0,6,0
1032831,2013-01-22 11:48:47,124.0,44,1
1035802,2013-01-06 17:59:27,48.0,15,0
1047818,2013-06-04 17:57:20,133.0,102,1
1049329,2013-03-27 06:15:05,156.0,65,1
1055017,2012-12-31 13:08:49,91.0,87,1
1055737,2013-01-29 12:45:55,104.0,106,0
1056358,2013-04-17 15:30:31,76.0,6,0
1059677,2013-01-16 13:13:49,115.0,22,1
1064557,2012-11-27 00:00:43,61.0,38,1
1066134,2013-06-14 20:58:03,151.0,5,0
1071629,2013-04-11 13:35:38,92.0,2,1
1072071,2013-02-05 10:03:13,150.0,4,1
1072430,2013-06-10 10:54:43,119.0,115,1
1074489,2013-02-09 18:40:04,188.0,34,1
1078670,2013-04-06 18:05:11,178.0,1,0
1079647,2013-04-23 01:22:48,103.0,73,1
1082754,2013-06-04 23:47:03,121.0,10,1
1085181,2012-12-07 23:52:33,118.0,132,1
1091156,2013-02-11 19:04:20,128.0,12,1
1100537,2013-02-12 08:45:23,56.0,168,0
1102676,2013-03-25 09:14:05,71.0,1,0
1103711,2013-05-29 20:23:04,56.0,39,0
1105150,2012-11-04 10:10:45,59.0,1,0
1107035,2013-03-20 13:56:13,60.0,5,0
1107355,2013-03-17 07:38:48,370.0,5,1
1114995,2012-11-28 14:47:26,37.0,19,0
1124027,2013-03-06 07:03:35,193.0,9,1
1125513,2012-11-21 19:03:01,289.0,10,1
1125922,2013-06-27 09:21:40,70.0,17,0
1128347,2013-06-03 14:47:33,121.0,4,1
1134782,2012-11-07 15:00:54,118.0,8,1
1137088,2012-11-27 19:13:18,52.0,23,1
1138359,2012-11-03 23:38:09,155.0,6,1
1139142,2012-12-07 22:54:42,56.0,14,1
1139522,2013-05-07 00:14:32,140.0,31,1
1141533,2013-01-14 16:04:44,55.0,6,0
1144311,2012-11-07 18:52:58,43.0,12,0
1145591,2013-01-23 15:44:56,68.0,6,0
1145855,2012-11-05 15:15:23,43.0,42,0
1151375,2013-04-02 23:12:14,148.0,11,1
1152325,2012-11-28 14:11:46,116.0,99,1
1158305,2013-01-18 09:27:29,118.0,42,1
1159440,2013-03-09 15:05:19,97.0,111,1
1179231,2013-02-17 20:49:53,182.0,124,1
1181657,2012-12-04 18:20:57,56.0,8,0
1184395,2013-01-22 11:15:29,52.0,145,0
1194363,2013-05-07 23:42:32,117.0,66,1
1199381,2013-03-12 13:38:07,190.0,66,1
1204434,2013-04-12 14:53:43,50.0,3,0
1209152,2012-11-28 21:43:23,55.0,24,1
1210512,2012-11-11 21:49:33,63.0,32,1
1211940,2013-03-23 23:51:20,56.0,2,0
1215320,2013-06-22 09:20:24,319.0,0,1
1216387,2013-01-16 14:23:19,63.0,131,0
1222684,2012-11-15 20:37:00,80.0,95,0
1228322,2013-03-02 16:32:55,109.0,74,0
1229138,2013-01-15 08:57:23,58.0,48,0
1235184,2013-06-20 07:27:07,229.0,1,1
1235465,2013-02-09 09:59:17,85.0,48,1
1237709,2013-03-04 03:14:00,66.0,154,0
1238624,2013-06-29 09:39:47,52.0,1,0
1239704,2013-02-10 07:17:00,99.0,7,0
1244519,2012-12-25 15:51:47,51.0,7,0
1245821,2013-05-20 17:58:14,231.0,32,1
1250371,2013-06-16 19:24:44,72.0,56,0
1254382,2013-04-11 07:12:18,103.0,77,1
1263330,2012-11-09 16:26:29,123.0,14,1
1266937,2013-05-31 23:21:30,116.0,23,0
1271530,2012-11-20 03:16:11,65.0,12,0
1277329,2013-04-27 05:32:38,50.0,130,0
1279242,2012-11-28 20:38:27,102.0,30,1
1284779,2012-12-28 01:07:14,53.0,4,0
1285102,2012-12-06 12:55:16,71.0,21,1
1288432,2012-12-08 23:00:29,90.0,14,1
1290640,2013-04-10 10:13:41,86.0,35,0
1294136,2013-05-17 18:18:27,103.0,47,0
1294413,2013-01-27 13:12:07,117.0,55,1
1294971,2012-12-27 10:23:13,95.0,107,1
1298362,2012-12-12 06:00:38,111.0,38,1
1310264,2013-01-28 13:03:13,134.0,10,1
1314530,2012-12-13 22:53:41,82.0,22,1
1315447,2013-01-25 13:56:43,62.0,93,0
1319782,2013-05-08 10:29:36,145.0,72,1
1325596,2013-03-17 10:51:32,108.0,212,0
1335903,2012-11-16 12:12:49,80.0,8,1
1336208,2013-05-12 17:03:59,146.0,34,1
1338795,2012-12-26 11:21:30,63.0,17,1
1341304,2013-06-21 22:00:36,64.0,17,0
1354041,2013-06-23 08:09:55,69.0,22,0
1354290,2012-12-26 18:13:02,95.0,64,1
1357028,2013-03-05 11:00:45,204.0,15,0
1357594,2013-03-12 07:52:50,250.0,11,1
1360403,2013-01-14 13:34:15,84.0,40,1
1363329,2013-03-12 19:55:07,185.0,38,1
1366832,2013-06-25 16:49:47,54.0,5,0
1369752,2013-02-01 01:13:47,65.0,51,0
