DATE,Number in Million
1/7/1967,208000
1/14/1967,207000
1/21/1967,217000
1/28/1967,204000
2/4/1967,216000
2/11/1967,229000
2/18/1967,229000
2/25/1967,242000
3/4/1967,310000
3/11/1967,241000
3/18/1967,245000
3/25/1967,247000
4/1/1967,259000
4/8/1967,257000
4/15/1967,299000
4/22/1967,245000
4/29/1967,255000
5/6/1967,254000
5/13/1967,231000
5/20/1967,230000
5/27/1967,228000
6/3/1967,248000
6/10/1967,238000
6/17/1967,224000
6/24/1967,218000
7/1/1967,209000
7/8/1967,240000
7/15/1967,241000
7/22/1967,240000
7/29/1967,209000
8/5/1967,221000
8/12/1967,202000
8/19/1967,215000
8/26/1967,213000
9/2/1967,218000
9/9/1967,231000
9/16/1967,220000
9/23/1967,209000
9/30/1967,204000
10/7/1967,231000
10/14/1967,206000
10/21/1967,223000
10/28/1967,207000
11/4/1967,222000
11/11/1967,214000
11/18/1967,198000
11/25/1967,191000
12/2/1967,196000
12/9/1967,221000
12/16/1967,204000
12/23/1967,219000
12/30/1967,216000
1/6/1968,222000
1/13/1968,222000
1/20/1968,221000
1/27/1968,198000
2/3/1968,244000
2/10/1968,210000
2/17/1968,196000
2/24/1968,193000
3/2/1968,190000
3/9/1968,204000
3/16/1968,190000
3/23/1968,200000
3/30/1968,192000
4/6/1968,191000
4/13/1968,171000
4/20/1968,183000
4/27/1968,251000
5/4/1968,209000
5/11/1968,194000
5/18/1968,199000
5/25/1968,194000
6/1/1968,199000
6/8/1968,192000
6/15/1968,194000
6/22/1968,189000
6/29/1968,194000
7/6/1968,214000
7/13/1968,186000
7/20/1968,180000
7/27/1968,205000
8/3/1968,206000
8/10/1968,218000
8/17/1968,192000
8/24/1968,193000
8/31/1968,188000
9/7/1968,189000
9/14/1968,195000
9/21/1968,191000
9/28/1968,189000
10/5/1968,185000
10/12/1968,186000
10/19/1968,191000
10/26/1968,182000
11/2/1968,181000
11/9/1968,183000
11/16/1968,192000
11/23/1968,199000
11/30/1968,162000
12/7/1968,188000
12/14/1968,195000
12/21/1968,192000
12/28/1968,223000
1/4/1969,190000
1/11/1969,191000
1/18/1969,192000
1/25/1969,193000
2/1/1969,203000
2/8/1969,197000
2/15/1969,192000
2/22/1969,192000
3/1/1969,201000
3/8/1969,191000
3/15/1969,189000
3/22/1969,181000
3/29/1969,183000
4/5/1969,182000
4/12/1969,190000
4/19/1969,187000
4/26/1969,177000
5/3/1969,177000
5/10/1969,183000
5/17/1969,179000
5/24/1969,180000
5/31/1969,187000
6/7/1969,192000
6/14/1969,182000
6/21/1969,191000
6/28/1969,203000
7/5/1969,227000
7/12/1969,210000
7/19/1969,206000
7/26/1969,192000
8/2/1969,196000
8/9/1969,203000
8/16/1969,199000
8/23/1969,199000
8/30/1969,195000
9/6/1969,182000
9/13/1969,209000
9/20/1969,195000
9/27/1969,193000
10/4/1969,193000
10/11/1969,200000
10/18/1969,199000
10/25/1969,205000
11/1/1969,198000
11/8/1969,211000
11/15/1969,197000
11/22/1969,217000
11/29/1969,202000
12/6/1969,202000
12/13/1969,222000
12/20/1969,232000
12/27/1969,223000
1/3/1970,230000
1/10/1970,242000
1/17/1970,268000
1/24/1970,256000
1/31/1970,239000
2/7/1970,256000
2/14/1970,265000
2/21/1970,271000
2/28/1970,242000
3/7/1970,262000
3/14/1970,271000
3/21/1970,264000
3/28/1970,276000
4/4/1970,273000
4/11/1970,305000
4/18/1970,374000
4/25/1970,349000
5/2/1970,334000
5/9/1970,318000
5/16/1970,303000
5/23/1970,296000
5/30/1970,301000
6/6/1970,301000
6/13/1970,298000
6/20/1970,296000
6/27/1970,291000
7/4/1970,277000
7/11/1970,288000
7/18/1970,294000
7/25/1970,287000
8/1/1970,261000
8/8/1970,266000
8/15/1970,300000
8/22/1970,303000
8/29/1970,297000
9/5/1970,324000
