time (UTC),air_pressure_at_mean_sea_level (Pa),air_temperature (K),sea_surface_wave_mean_period (s),sea_surface_wave_significant_height (m),sea_surface_wave_from_direction (degree),wind_from_direction (degree),wind_speed_of_gust (m s-1),wind_speed (m s-1),eastward_sea_water_velocity_1 (m s-1),northward_sea_water_velocity_1 (m s-1),sea_water_temperature_1 (K),eastward_sea_water_velocity_2 (m s-1),northward_sea_water_velocity_2 (m s-1),sea_water_temperature_2 (K),eastward_sea_water_velocity_3 (m s-1),northward_sea_water_velocity_3 (m s-1),sea_water_temperature_3 (K),eastward_sea_water_velocity_4 (m s-1),northward_sea_water_velocity_4 (m s-1),sea_water_temperature_4 (K),eastward_sea_water_velocity_5 (m s-1),northward_sea_water_velocity_5 (m s-1),sea_water_temperature_5 (K),eastward_sea_water_velocity_6 (m s-1),northward_sea_water_velocity_6 (m s-1),sea_water_temperature_6 (K),eastward_sea_water_velocity_7 (m s-1),northward_sea_water_velocity_7 (m s-1),sea_water_temperature_7 (K),eastward_sea_water_velocity_8 (m s-1),northward_sea_water_velocity_8 (m s-1),sea_water_temperature_8 (K),northward_sea_water_velocity (m s-1),sea_water_temperature_9 (K),platform
2022-06-07T11:20:00Z,99793.98,282.48,NaN,0.204,346.2,294.8,7.71,5.562,NaN,NaN,285.711,NaN,NaN,285.695,NaN,NaN,285.73,NaN,NaN,285.696,NaN,NaN,285.684,NaN,NaN,285.642,NaN,NaN,285.553,NaN,NaN,285.349,NaN,285.076,1
2022-06-07T12:20:00Z,99846.46,282.35,2.123,0.224,356.2,296.7,6.86,5.453,NaN,NaN,286.177,NaN,NaN,286.173,NaN,NaN,286.198,NaN,NaN,286.087,NaN,NaN,285.954,NaN,NaN,285.994,NaN,NaN,285.914,NaN,NaN,285.9,NaN,285.651,1
2022-06-07T18:20:00Z,100114.2,283.5,3.46,0.453,338.6,264.5,8.64,6.849,NaN,NaN,286.261,NaN,NaN,286.248,NaN,NaN,286.28,NaN,NaN,286.245,NaN,NaN,286.254,NaN,NaN,286.315,NaN,NaN,286.258,NaN,NaN,286.264,NaN,286.271,1
2022-06-07T18:40:00Z,100134.7,283.5,3.539,0.44,336.6,271,9.41,6.974,NaN,NaN,286.278,NaN,NaN,286.264,NaN,NaN,286.294,NaN,NaN,286.26,NaN,NaN,286.269,NaN,NaN,286.326,NaN,NaN,286.272,NaN,NaN,286.278,NaN,286.284,1
2022-06-07T19:00:00Z,100152.1,283.56,3.587,0.423,333.3,275.2,7.91,6.444,NaN,NaN,286.303,NaN,NaN,286.287,NaN,NaN,286.317,NaN,NaN,286.286,NaN,NaN,286.292,NaN,NaN,286.349,NaN,NaN,286.291,NaN,NaN,286.292,NaN,286.296,1
2022-06-07T19:20:00Z,100176.6,283.73,3.587,0.423,333.3,281,8.15,6.019,NaN,NaN,286.352,NaN,NaN,286.325,NaN,NaN,286.348,NaN,NaN,286.326,NaN,NaN,286.298,NaN,NaN,286.359,NaN,NaN,286.306,NaN,NaN,286.306,NaN,286.309,1
2022-06-07T19:40:00Z,100191.1,284.01,3.637,0.423,325.5,281.2,7.48,5.888,NaN,NaN,286.371,NaN,NaN,286.354,NaN,NaN,286.393,NaN,NaN,286.36,NaN,NaN,286.359,NaN,NaN,286.401,NaN,NaN,286.346,NaN,NaN,286.329,NaN,286.331,1
2022-06-07T20:00:00Z,100201.7,284.14,3.604,0.49,318.3,285.9,6.7,5.515,NaN,NaN,286.375,NaN,NaN,286.361,NaN,NaN,286.389,NaN,NaN,286.346,NaN,NaN,286.343,NaN,NaN,286.398,NaN,NaN,286.323,NaN,NaN,286.326,NaN,286.332,1
2022-06-07T20:20:00Z,100229,284.13,3.661,0.468,319,281.2,5.9,4.921,NaN,NaN,286.368,NaN,NaN,286.354,NaN,NaN,286.39,NaN,NaN,286.353,NaN,NaN,286.364,NaN,NaN,286.425,NaN,NaN,286.351,NaN,NaN,286.33,NaN,286.335,1
2022-06-07T20:40:00Z,100237.9,284.09,3.688,0.385,323.7,278.4,5.46,4.497,NaN,NaN,286.36,NaN,NaN,286.346,NaN,NaN,286.375,NaN,NaN,286.342,NaN,NaN,286.354,NaN,NaN,286.414,NaN,NaN,286.344,NaN,NaN,286.33,NaN,286.332,1
