                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.2733,                0.76575,                0.98011,                0.75752,                0.63079,                0.70979,                0.41122,                 1.1824,                 0.7379,                 1.0973,              0.0085051,              0.0085051,              0.0085051
                    153,                 1.2658,                0.71892,                0.95418,                0.77748,                0.63528,                0.72121,                0.41374,                  1.177,                0.72857,                 1.0955,              0.0084952,              0.0084952,              0.0084952
                    154,                 1.4119,                0.84985,                 1.0156,                0.76137,                0.63341,                0.71535,                0.40805,                 1.1996,                0.76994,                 1.0976,              0.0084853,              0.0084853,              0.0084853
                    155,                 1.1447,                 0.7404,                0.94895,                0.75726,                0.63536,                0.71516,                0.41085,                 1.1674,                0.76045,                 1.0872,              0.0084754,              0.0084754,              0.0084754
                    156,                 1.2999,                0.76044,                  0.979,                0.75239,                0.63362,                0.70865,                0.41095,                 1.1755,                0.75171,                 1.0948,              0.0084655,              0.0084655,              0.0084655
                    157,                 1.2023,                0.70204,                 0.9371,                0.73545,                0.64721,                0.70893,                0.40818,                  1.171,                0.75209,                 1.1123,              0.0084556,              0.0084556,              0.0084556
                    158,                 1.2922,                0.75362,                  0.959,                0.77589,                0.62706,                0.70782,                  0.394,                 1.1957,                0.78176,                 1.1235,              0.0084457,              0.0084457,              0.0084457
                    159,                 1.2813,                0.75763,                0.94435,                0.79774,                0.60987,                0.71249,                0.40315,                  1.204,                0.75304,                 1.1162,              0.0084358,              0.0084358,              0.0084358
                    160,                 1.1785,                0.71976,                0.93056,                0.77759,                 0.6151,                0.70534,                0.40366,                 1.1807,                0.73592,                 1.1154,              0.0084259,              0.0084259,              0.0084259
                    161,                 1.1526,                0.70687,                0.97023,                 0.7604,                0.62855,                0.70633,                0.40808,                 1.1914,                0.74287,                 1.1223,               0.008416,               0.008416,               0.008416
                    162,                 1.2194,                0.74807,                0.98349,                0.75263,                0.62988,                0.70877,                0.40501,                 1.1867,                0.75342,                 1.1199,              0.0084061,              0.0084061,              0.0084061
                    163,                 1.1877,                0.76663,                0.88933,                0.75825,                0.62589,                0.71291,                0.41013,                 1.1776,                0.77206,                  1.111,              0.0083962,              0.0083962,              0.0083962
                    164,                 1.2643,                0.73863,                0.97615,                0.75551,                0.62855,                0.69994,                0.39687,                 1.1724,                0.74776,                 1.1021,              0.0083863,              0.0083863,              0.0083863
                    165,                 1.1107,                0.65789,                0.92411,                 0.7585,                0.62743,                0.71045,                0.40564,                 1.1661,                 0.7287,                 1.0949,              0.0083764,              0.0083764,              0.0083764
                    166,                 1.1598,                0.69023,                0.97008,                0.74546,                0.62369,                0.70196,                0.39622,                 1.1744,                0.74799,                 1.0946,              0.0083665,              0.0083665,              0.0083665
                    167,                 1.2168,                0.72071,                0.99457,                0.78285,                0.62644,                0.71585,                0.40057,                 1.1943,                0.73972,                 1.0966,              0.0083566,              0.0083566,              0.0083566
                    168,                 1.1921,                0.71911,                 1.0073,                0.75801,                0.62391,                0.71389,                 0.4081,                 1.1806,                0.73252,                 1.0904,              0.0083467,              0.0083467,              0.0083467
                    169,                 1.2645,                0.76918,                 1.0087,                0.76682,                0.61936,                0.71627,                0.40357,                  1.167,                0.73853,                 1.0813,              0.0083368,              0.0083368,              0.0083368
                    170,                  1.354,                0.78313,                0.98754,                0.77016,                0.60127,                 0.7069,                0.39762,                  1.172,                0.77431,                 1.0799,              0.0083269,              0.0083269,              0.0083269
                    171,                 1.1721,                 0.7225,                0.93205,                0.76547,                0.63602,                0.72143,                0.41514,                 1.1689,                0.73344,                 1.0979,               0.008317,               0.008317,               0.008317
                    172,                 1.2604,                 0.8647,                 1.0191,                0.77987,                0.61472,                0.70945,                0.40169,                  1.192,                0.75797,                 1.1006,              0.0083071,              0.0083071,              0.0083071
                    173,                 1.1414,                0.73854,                0.92776,                 0.7965,                  0.608,                 0.7124,                0.40605,                 1.1881,                0.77261,                  1.099,              0.0082972,              0.0082972,              0.0082972
                    174,                 1.1815,                0.70149,                0.93045,                0.76579,                0.63191,                0.71456,                 0.4116,                 1.1771,                0.78343,                 1.1059,              0.0082873,              0.0082873,              0.0082873
                    175,                 1.1468,                0.68477,                0.91511,                0.76921,                 0.6278,                0.71192,                0.39974,                 1.2316,                0.82166,                 1.1309,              0.0082774,              0.0082774,              0.0082774
                    176,                 1.2314,                0.75518,                 0.9541,                0.75856,                0.62225,                 0.7096,                0.40565,                 1.1993,                0.79249,                 1.1137,              0.0082675,              0.0082675,              0.0082675
                    177,                 1.1178,                0.65616,                0.91756,                0.73244,                0.63221,                0.70764,                0.41094,                 1.1746,                0.76486,                 1.0956,              0.0082576,              0.0082576,              0.0082576
