show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,full_text,clean_text
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.","Movie. Dick Johnson Is Dead. Kirsten Johnson. nan. United States. September 25, 2021. 90 min. 90 min. Documentaries. As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",movie dick johnson dead kirsten johnson united states september min min documentary father near end life filmmaker kirsten johnson stage death inventive comical way help face inevitable
s2,TV Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.","TV Show. Blood & Water. nan. Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng. South Africa. September 24, 2021. 2 Seasons. 2 Seasons. International TV Shows, TV Dramas, TV Mysteries. After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",tv show blood water ama qamata khosi ngema gail mabalane thabang molaba dillon windvogel natasha thahane arno greeff xolile tshabalala getmore sithole cindy mahlangu ryle de morny greteli fincham sello maake ka ncube odwa gwanya mekaila mathy sandi schultz duane williams shamilla miller patrick mofokeng south africa september season season international tv show tv drama tv mystery cross path party cape town teen set prove whether private school swimming star sister abduct birth
s3,TV Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.","TV Show. Ganglands. Julien Leclercq. Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera. nan. September 24, 2021. 1 Season. 1 Season. Crime TV Shows, International TV Shows, TV Action & Adventure. To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",tv show gangland julien leclercq sami bouajila tracy gotoas samuel jouy nabiha akkari sofia lesaffre salim kechiouche noureddine farihi geert van rampelberg bakary diombera september season season crime tv show international tv show tv action adventure protect family powerful drug lord skilled thief mehdi expert team robber pull violent deadly turf war
s4,TV Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.","TV Show. Jailbirds New Orleans. nan. nan. nan. September 24, 2021. 1 Season. 1 Season. Docuseries, Reality TV. Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",tv show jailbird new orleans september season season docuserie reality tv feud flirtation toilet talk go among incarcerate woman orleans justice center new orleans gritty reality series
s5,TV Show,Kota Factory,,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.","TV Show. Kota Factory. nan. Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar. India. September 24, 2021. 2 Seasons. 2 Seasons. International TV Shows, Romantic TV Shows, TV Comedies. In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",tv show kota factory mayur jitendra kumar ranjan raj alam khan ahsaas channa revathi pillai urvi singh arun kumar india september season season international tv show romantic tv show tv comedy city coaching center know train india fine collegiate mind earnest unexceptional student friend navigate campus life
s6,TV Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.","TV Show. Midnight Mass. Mike Flanagan. Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver. nan. September 24, 2021. 1 Season. 1 Season. TV Dramas, TV Horror, TV Mysteries. The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",tv show midnight mass mike flanagan kate siegel zach gilford hamish linklater henry thomas kristin lehman samantha sloyan igby rigney rahul kohli annarah cymone annabeth gish alex essoe rahul abburi matt biedel michael trucco crystal balint louis oliver september season season tv drama tv horror tv mystery arrival charismatic young priest bring glorious miracle ominous mystery renew religious fervor die town desperate believe
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",,"September 24, 2021",2021,PG,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.","Movie. My Little Pony: A New Generation. Robert Cullen, José Luis Ucha. Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr. nan. September 24, 2021. 91 min. 91 min. Children & Family Movies. Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",movie little pony new generation robert cullen jose luis ucha vanessa hudgens kimiko glenn james marsden sofia carson liza koshy ken jeong elizabeth perkins jane krakowski michael mckean phil lamarr september min min children family movie equestria divide bright eyed hero believe earth pony pegasi unicorn pal hoof heart determined prove
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Movie. Sankofa. Haile Gerima. Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri. United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia. September 24, 2021. 125 min. 125 min. Dramas, Independent Movies, International Movies. On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",movie sankofa haile gerima kofi ghanaba oyafunmike ogunlano alexandra duah nick medley mutabaruka afemo omilami reggie carter mzuri united states ghana burkina faso united kingdom germany ethiopia september min min dramas independent movie international movie photo shoot ghana american model slip back time becomes enslave plantation bear witness agony ancestral past
s9,TV Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.","TV Show. The Great British Baking Show. Andy Devonshire. Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood. United Kingdom. September 24, 2021. 9 Seasons. 9 Seasons. British TV Shows, Reality TV. A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",tv show great british baking show andy devonshire mel giedroyc sue perkin mary berry paul hollywood united kingdom september season season british tv show reality tv talented batch amateur baker face week competition whip good dish hope name u k good
s10,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,"Movie. The Starling. Theodore Melfi. Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor. United States. September 24, 2021. 104 min. 104 min. Comedies, Dramas. A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.",movie starling theodore melfi melissa mccarthy chris odowd kevin kline timothy olyphant daveed digg skyler gisondo laura harrier rosalind chao kimberly quinn loretta devine ravi kapoor united states september min min comedy drama woman adjust life loss contend feisty bird take garden husband struggle find way forward
